date,article_reading_cnts,article_reading_times,collect_times
2017/1/1,37,124,1
2017/1/2,51,149,7
2017/1/3,93,369,5
2017/1/4,58,278,6
2017/1/5,58,216,2
2017/1/6,47,171,3
2017/1/7,36,90,3
2017/1/8,46,125,4
2017/1/9,62,201,11
2017/1/10,57,329,20
2017/1/11,62,315,5
2017/1/12,72,313,6
2017/1/13,51,278,71
2017/1/14,33,121,2
2017/1/15,484,1065,30
2017/1/16,171,890,5
2017/1/17,97,335,5
2017/1/18,375,678,39
2017/1/19,143,983,8
2017/1/20,55,220,5
2017/1/21,62,186,1
2017/1/22,56,203,6
2017/1/23,48,168,2
2017/1/24,23,84,1
2017/1/25,32,95,0
2017/1/26,28,95,3
2017/1/27,23,379,1
2017/1/28,16,145,2
2017/1/29,38,157,2
2017/1/30,22,94,2
2017/1/31,25,83,3
2017/2/1,24,77,5
2017/2/2,51,88,4
2017/2/3,37,112,0
2017/2/4,43,224,12
2017/2/5,50,344,5
2017/2/6,45,232,1
2017/2/7,613,1409,27
2017/2/8,140,473,5
2017/2/9,93,332,2
2017/2/10,86,303,7
2017/2/11,45,116,2
2017/2/12,51,168,8
2017/2/13,97,279,2
2017/2/14,74,291,2
2017/2/15,72,430,40
2017/2/16,70,256,8
2017/2/17,636,1325,32
2017/2/18,151,488,55
2017/2/19,310,623,24
2017/2/20,140,519,13
2017/2/21,127,413,8
2017/2/22,118,439,22
2017/2/23,88,325,7
2017/2/24,87,279,5
2017/2/25,55,198,4
2017/2/26,57,153,1
2017/2/27,67,289,5
2017/2/28,970,1912,71
2017/3/1,923,1933,71
2017/3/2,221,818,25
2017/3/3,112,308,5
2017/3/4,102,351,28
2017/3/5,71,269,8
2017/3/6,97,430,4
2017/3/7,133,337,7
2017/3/8,96,359,12
2017/3/9,89,284,21
2017/3/10,88,404,7
2017/3/11,63,205,7
2017/3/12,67,252,13
2017/3/13,80,217,9
2017/3/14,75,253,8
2017/3/15,70,215,6
2017/3/16,69,251,5
2017/3/17,69,737,9
2017/3/18,50,156,10
2017/3/19,64,135,6
2017/3/20,64,197,2
2017/3/21,81,280,6
2017/3/22,132,288,7
2017/3/23,105,243,4
2017/3/24,64,173,1
2017/3/25,39,96,3
2017/3/26,56,117,5
2017/3/27,62,167,7
2017/3/28,62,212,1
2017/3/29,61,150,4
2017/3/30,65,185,4
2017/3/31,70,211,8
2017/4/1,44,145,6
2017/4/2,45,119,6
2017/4/3,21,67,2
2017/4/4,34,86,2
2017/4/5,1085,1450,56
2017/4/6,192,436,24
2017/4/7,131,266,6
2017/4/8,117,220,4
2017/4/9,75,178,4
2017/4/10,103,277,23
2017/4/11,85,191,5
2017/4/12,85,187,3
2017/4/13,69,177,19
2017/4/14,69,309,4
2017/4/15,62,133,2
2017/4/16,557,854,33
2017/4/17,218,469,15
2017/4/18,92,312,9
2017/4/19,735,1088,44
2017/4/20,158,375,14
2017/4/21,104,245,6
2017/4/22,54,123,10
2017/4/23,65,341,14
2017/4/24,62,148,6
2017/4/25,77,282,18
2017/4/26,57,253,9
2017/4/27,109,486,19
2017/4/28,91,200,8
2017/4/29,43,127,6
2017/4/30,48,173,4
2017/5/1,54,168,6
2017/5/2,67,206,18
2017/5/3,85,281,8
2017/5/4,78,244,8
2017/5/5,56,264,7
2017/5/6,55,154,6
2017/5/7,57,136,2
2017/5/8,62,182,4
2017/5/9,37,116,3
2017/5/10,66,251,3
2017/5/11,82,248,12
2017/5/12,57,232,6
2017/5/13,31,128,9
2017/5/14,41,147,7
2017/5/15,55,171,5
2017/5/16,103,412,5
2017/5/17,63,185,3
2017/5/18,61,200,23
2017/5/19,41,177,3
2017/5/20,42,115,4
2017/5/21,41,162,5
2017/5/22,54,185,1
2017/5/23,42,168,2
2017/5/24,47,121,0
2017/5/25,66,150,4
2017/5/26,56,260,6
2017/5/27,29,104,1
2017/5/28,43,87,1
2017/5/29,41,82,3
2017/5/30,29,61,4
2017/5/31,47,127,3
2017/6/1,37,145,4
2017/6/2,78,196,5
2017/6/3,36,125,8
2017/6/4,581,785,28
2017/6/5,143,275,3
2017/6/6,123,239,21
2017/6/7,86,287,15
2017/6/8,75,193,4
2017/6/9,46,123,4
2017/6/10,46,124,2
2017/6/11,453,667,23
2017/6/12,101,283,7
2017/6/13,79,163,5
2017/6/14,87,179,6
2017/6/15,66,147,5
2017/6/16,60,138,8
2017/6/17,36,90,1
2017/6/18,43,112,5
2017/6/19,233,422,10
2017/6/20,221,429,11
2017/6/21,90,197,6
2017/6/22,168,352,17
2017/6/23,61,174,2
2017/6/24,52,118,5
2017/6/25,66,205,6
2017/6/26,55,150,1
2017/6/27,89,210,23
2017/6/28,76,222,4
2017/6/29,250,456,21
2017/6/30,240,517,13
2017/7/1,68,219,14
2017/7/2,58,120,7
2017/7/3,74,157,8
2017/7/4,82,214,8
2017/7/5,476,726,15
2017/7/6,164,342,4
2017/7/7,96,226,10
2017/7/8,75,168,4
2017/7/9,361,546,14
2017/7/10,134,310,5
2017/7/11,180,322,13
2017/7/12,93,266,5
2017/7/13,104,328,8
2017/7/14,76,256,5
2017/7/15,57,183,1
2017/7/16,69,225,1
2017/7/17,71,244,24
2017/7/18,68,235,9
2017/7/19,68,296,8
2017/7/20,66,243,2
2017/7/21,66,225,10
2017/7/22,60,163,4
2017/7/23,59,146,5
2017/7/24,71,269,15
2017/7/25,87,278,7
2017/7/26,319,546,13
2017/7/27,240,567,7
2017/7/28,94,450,4
2017/7/29,54,340,6
2017/7/30,475,762,34
2017/7/31,168,415,14
2017/8/1,116,313,11
2017/8/2,91,248,15
2017/8/3,62,220,7
2017/8/4,52,162,2
2017/8/5,45,134,8
2017/8/6,83,161,8
2017/8/7,66,173,3
2017/8/8,74,259,11
2017/8/9,286,484,14
2017/8/10,290,787,12
2017/8/11,86,323,13
2017/8/12,81,282,5
2017/8/13,67,197,6
2017/8/14,83,269,6
2017/8/15,81,291,3
2017/8/16,74,235,4
2017/8/17,63,192,2
2017/8/18,80,240,8
2017/8/19,80,222,8
2017/8/20,52,228,5
2017/8/21,95,329,7
2017/8/22,413,813,27
2017/8/23,264,693,23
2017/8/24,109,300,2
2017/8/25,206,420,21
2017/8/26,81,199,8
2017/8/27,65,156,10
2017/8/28,72,206,6
2017/8/29,91,259,8
2017/8/30,568,948,31
2017/8/31,256,532,12
2017/9/1,466,776,28
2017/9/2,377,694,25
2017/9/3,181,475,16
2017/9/4,161,425,15
2017/9/5,119,434,13
2017/9/6,95,401,4
2017/9/7,1037,1773,53
2017/9/8,918,1582,48
2017/9/9,143,429,14
2017/9/10,113,309,6
2017/9/11,105,305,5
2017/9/12,113,440,6
2017/9/13,82,326,12
2017/9/14,79,255,7
2017/9/15,77,370,30
2017/9/16,85,211,6
2017/9/17,59,183,7
2017/9/18,85,308,7
2017/9/19,95,231,8
2017/9/20,83,230,19
2017/9/21,78,364,3
2017/9/22,69,248,9
2017/9/23,539,799,29
2017/9/24,126,266,4
2017/9/25,603,1133,38
2017/9/26,603,1366,19
2017/9/27,477,901,14
2017/9/28,476,790,16
